stem,kind,detail,proposed_category,evidence,component_a,component_b,site,resolution,resolution_note
circuit_1080,pin_order,"A#3 BJT-NPN: terminal order A ['n1', 'n5', 'n6'] -> ['n1', 'n5', 'n6'] vs B ['n5', 'n1', 'n6'] (same nets, different pins -- a pure pin swap)",unresolved,"pin identity is read from the arrowhead / +- glyphs / gate bar in the photograph; no automatic check can settle it, and the net metrics cannot even see it",3,3,,,
circuit_1240,pin_order,"A#15 Op-Amp: terminal order A ['0', 'n9', 'n5'] -> ['0', 'n9', 'n5'] vs B ['n9', '0', 'n5'] (same nets, different pins -- a pure pin swap)",unresolved,"pin identity is read from the arrowhead / +- glyphs / gate bar in the photograph; no automatic check can settle it, and the net metrics cannot even see it",15,15,,,
circuit_1264,component_missing_in_B,"A#7 V-AC at [116.0, 473.7, 54.9, 52.8] has no counterpart in B",clerical,no B box overlaps it at IoU>=0.3; a component present in one annotation and absent in the other is an inventory slip,7,,,,
circuit_1273,pin_order,"A#4 BJT-NPN: terminal order A ['n1', 'n4', 'n5'] -> ['n1', 'n4', 'n5'] vs B ['n4', 'n1', 'n5'] (same nets, different pins -- a pure pin swap)",unresolved,"pin identity is read from the arrowhead / +- glyphs / gate bar in the photograph; no automatic check can settle it, and the net metrics cannot even see it",4,4,,,
circuit_142,site_decision,site 14: A=junction B=crossing,ambiguous-ink,"plain X at (469,588) degree 4: dot_score 2.2 < 2.3 and hop_score 3.6 < 6.0 -- neither a dot nor a hop, so both readings are defensible",,,14,,
circuit_264,site_decision,site 21: A=junction B=crossing,unresolved,"degree 3 site (a T, not a crossing): a T has no crossing reading, so this is substantive",,,21,,
circuit_366,pin_order,"A#2 Op-Amp: terminal order A ['0', 'n2', 'n1'] -> ['0', 'n2', 'n1'] vs B ['n2', '0', 'n1'] (same nets, different pins -- a pure pin swap)",unresolved,"pin identity is read from the arrowhead / +- glyphs / gate bar in the photograph; no automatic check can settle it, and the net metrics cannot even see it",2,2,,,
circuit_486,site_decision,site 21: A=junction B=crossing,ambiguous-ink,"plain X at (438,676) degree 5: dot_score 1.1 < 2.3 and hop_score 0.0 < 6.0 -- neither a dot nor a hop, so both readings are defensible",,,21,,
circuit_78,site_decision,site 14: A=junction B=crossing,unresolved,"degree 3 site (a T, not a crossing): a T has no crossing reading, so this is substantive",,,14,,
circuit_891,site_decision,site 13: A=junction B=crossing,unresolved,"degree 3 site (a T, not a crossing): a T has no crossing reading, so this is substantive",,,13,,
circuit_919,site_decision,site 22: A=junction B=crossing,ambiguous-ink,"plain X at (217,609) degree 4: dot_score 2.1 < 2.3 and hop_score 1.4 < 6.0 -- neither a dot nor a hop, so both readings are defensible",,,22,,
