idx,file,image,node,net_a,net_b,kind,shorted_components,cut_degree,n_cut_sites,single_cut,path_len_exact,detour,path_len,near_detected_xover,near_gt_xover,verdict,note
15,weld_15_circuit_1016_0_n6.png,circuit_1016.jpg,0,0,n6,INTER-COMPONENT,,3,2,1,170,1.56,174,339.2,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
57,weld_57_circuit_1016_0_n1.png,circuit_1016.jpg,n1,0,n1,INTER-COMPONENT,,4,1,1,91,1.3,91,163.3,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
58,weld_58_circuit_1018_n1_n2.png,circuit_1018.jpg,n2,n1,n2,INTER-COMPONENT,,4,1,1,149,1.27,151,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
17,weld_17_circuit_1074_0_n8.png,circuit_1074.jpg,n12,0,n8,INTER-COMPONENT,,,0,0,3,1.5,3,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared"
18,weld_18_circuit_1074_n7_n8.png,circuit_1074.jpg,n14,n7,n8,INTER-COMPONENT,,,0,0,3,1.5,3,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared"
19,weld_19_circuit_1074_0_n7.png,circuit_1074.jpg,n17,0,n7,INTER-COMPONENT,,,0,0,3,1.5,3,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared"
20,weld_20_circuit_1074_0_n9.png,circuit_1074.jpg,0,0,n9,INTER-COMPONENT,,,0,0,3,1.5,3,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared  [rule-applied, not individually inspected]"
32,weld_32_circuit_1074_0_n13.png,circuit_1074.jpg,n15,0,n13,INTER-COMPONENT,,3,3,1,159,1.48,159,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark  [rule-applied, not individually inspected]"
45,weld_45_circuit_1074_0_n1.png,circuit_1074.jpg,n9,0,n1,INTER-COMPONENT,,,0,0,4,1.33,4,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared  [rule-applied, not individually inspected]"
21,weld_21_circuit_1076_0_n5.png,circuit_1076.jpg,n11,0,n5,INTER-COMPONENT,,,0,0,3,1.5,3,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared  [rule-applied, not individually inspected]"
22,weld_22_circuit_1076_0_n6.png,circuit_1076.jpg,n11,0,n6,INTER-COMPONENT,,,0,0,3,1.5,3,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared  [rule-applied, not individually inspected]"
23,weld_23_circuit_1076_0_n5.png,circuit_1076.jpg,n12,0,n5,INTER-COMPONENT,,4,1,1,63,1.5,3,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark  [rule-applied, not individually inspected]"
54,weld_54_circuit_1076_0_n10.png,circuit_1076.jpg,n15,0,n10,INTER-COMPONENT,,4,1,1,237,1.32,239,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
59,weld_59_circuit_1076_0_n1.png,circuit_1076.jpg,n1,0,n1,INTER-COMPONENT,,3,3,1,195,1.27,195,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
60,weld_60_circuit_1076_n1_n2.png,circuit_1076.jpg,n1,n1,n2,INTER-COMPONENT,,3,3,1,195,1.27,195,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
24,weld_24_circuit_1111_0_n8.png,circuit_1111.jpg,n7,0,n8,INTER-COMPONENT,,3,3,1,441,1.5,441,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
25,weld_25_circuit_1111_n1_n8.png,circuit_1111.jpg,n7,n1,n8,INTER-COMPONENT,,3,3,1,441,1.5,441,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
26,weld_26_circuit_1111_n5_n8.png,circuit_1111.jpg,n7,n5,n8,INTER-COMPONENT,,3,2,1,441,1.5,441,,,JUDGEMENT,"no hop notation in this drawing; nets separated by circuit knowledge, not by any mark"
27,weld_27_circuit_1121_0_n5.png,circuit_1121.jpg,n4,0,n5,INTER-COMPONENT,,,0,0,4,1.5,3,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared  [rule-applied, not individually inspected]"
33,weld_33_circuit_1121_0_n5.png,circuit_1121.jpg,0,0,n5,INTER-COMPONENT,,4,2,1,299,1.47,299,,,,"convention not established for this image  [rule-applied, not individually inspected]"
12,weld_12_circuit_113_0_n3.png,circuit_113.jpg,n4,0,n3,INTER-COMPONENT,,3,3,1,145,1.64,148,,,,"convention not established for this image  [rule-applied, not individually inspected]"
36,weld_36_circuit_113_n12_n9.png,circuit_113.jpg,n7,n12,n9,INTER-COMPONENT,,4,6,1,447,1.42,447,,,,"convention not established for this image  [rule-applied, not individually inspected]"
46,weld_46_circuit_113_n12_n2.png,circuit_113.jpg,n7,n12,n2,INTER-COMPONENT,,,0,0,4,1.33,4,,,JUDGEMENT,"no single site separates, and two_cut_oracle finds no PAIR either - the conductor is genuinely shared  [rule-applied, not individually inspected]"
37,weld_37_circuit_1133_n4_n7.png,circuit_1133.jpg,0,n4,n7,INTER-COMPONENT,,4,10,1,805,1.41,920,73.3,,,"convention not established for this image  [rule-applied, not individually inspected]"
1,weld_01_circuit_1134_n3_n6.png,circuit_1134.jpg,0,n3,n6,INTER-COMPONENT,,3,5,1,872,5.09,1007,3.0,,HOP,"drafter draws hops; the proposed cut site is a real T-junction, so the separation is an arc the binarisation bridged"
3,weld_03_circuit_1134_0_n5.png,circuit_1134.jpg,0,0,n5,INTER-COMPONENT,,3,7,1,760,3.16,770,90.5,,HOP,"drafter draws hops; the proposed cut site is a real T-junction, so the separation is an arc the binarisation bridged"
